Station Code,Station Name,Elevation,Latitude,Longitude
USW00004751,"BRADFORD REGIONAL AIRPORT, PA US",642.2,41.7984,-78.6354
USC00361139,"BUTLER 2 SW, PA US",304.8,40.8415,-79.9163
USC00361485,"CLARION 3 SW, PA US",317,41.1922,-79.4361
USC00361705,"CONFLUENCE 1 SW DAM, PA US",454.2,39.7994,-79.3665
USC00362013,"DANVILLE, PA US",145.7,40.9591,-76.6176
USW00004787,"DUBOIS REGIONAL AIRPORT, PA US",550.2,41.1795,-78.8933
USW00014860,"ERIE INTERNATIONAL AIRPORT, PA US",222.2,42.0803,-80.1824
USC00462920,"FAIRMONT, WV US",396.2,39.4583,-80.1353
USC00363028,"FRANKLIN, PA US",309.4,41.4004,-79.8305
USW00014751,"HARRISBURG CAPITAL CITY AIRPORT, PA US",102.1,40.2184,-76.8552
USC00364214,"INDIANA 3 SE, PA US",335.9,40.5972,-79.1186
USC00364432,"KANE 1 NNE, PA US",533.4,41.677,-78.8036
USC00364836,"LAUREL MOUNTAIN, PA US",841.2,40.2004,-79.1882
USC00365050,"LINESVILLE 1 S, PA US",313.9,41.6458,-80.425
USC00468807,"THOMAS, WV US",917.4,39.15,-79.5
USC00366233,"NEW CASTLE 1 N, PA US",251.5,41.0172,-80.3615
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2.1,39.8733,-75.2268
USC00366927,"PHOENIXVILLE 1 E, PA US",43,40.1209,-75.4877
USW00094823,"PITTSBURGH ASOS, PA US",366.7,40.4846,-80.2144
USC00367846,"SAXTON 1 W, PA US",253,40.2173,-78.254
USC00368873,"TIONESTA 2 SE LAKE, PA US",365.8,41.4792,-79.4432
USC00369050,"UNIONTOWN 1 NE, PA US",291.4,39.915,-79.7191
USC00369298,"WARREN, PA US",368.8,41.8467,-79.1494
USC00369367,"WAYNESBURG 1 E, PA US",286.5,39.8986,-80.1656
USC00369408,"WELLSBORO 4 SW, PA US",554.1,41.7004,-77.3871
